iter	MultiClass
207	0.5276536319
208	0.5266636508
209	0.5261347403
210	0.5253386937
211	0.5248782821
212	0.5242614173
213	0.5234815705
214	0.5228241288
215	0.5220350519
216	0.5212353733
217	0.5201208487
218	0.5191994658
219	0.5184123192
220	0.5174016426
221	0.5163853237
222	0.5155866786
223	0.5149340619
224	0.5146911889
225	0.5141257269
226	0.5132153449
227	0.5122168754
228	0.5119628139
229	0.5113776308
230	0.5108655227
231	0.5100988996
232	0.509506838
233	0.5085142855
234	0.5078731906
235	0.506937591
236	0.5064286934
237	0.505948213
238	0.5052857107
239	0.504595337
240	0.5043504484
241	0.5036334447
242	0.5029718063
243	0.502172143
244	0.5012241578
245	0.5008078442
246	0.4999870639
247	0.4990958588
248	0.498340859
249	0.4973597972
250	0.4966035193
251	0.4962012125
252	0.4955705666
253	0.4950312888
254	0.4945358351
255	0.4942537072
256	0.4935436762
257	0.492860994
258	0.4921148147
259	0.4916789911
260	0.4909936198
261	0.4906468263
262	0.4901508194
263	0.4896729101
264	0.4893607238
265	0.4888524685
266	0.4885114794
267	0.4880771048
268	0.4875733456
269	0.4869106696
270	0.486264192
271	0.4858707288
272	0.4854352969
273	0.4851454251
274	0.484402706
275	0.4837221656
276	0.4831688357
277	0.4827065462
278	0.482345173
279	0.4814173067
280	0.4810519157
281	0.4804378278
282	0.4798172619
283	0.4796012641
284	0.479225755
285	0.4787223074
286	0.478219882
287	0.4773223708
288	0.476770967
289	0.4763063185
290	0.4758328783
291	0.4752889765
292	0.4746882924
293	0.4741663869
294	0.4734003276
295	0.4731322856
296	0.4727138959
297	0.4721928012
298	0.4713395789
299	0.4707438242
300	0.4705068911
301	0.4699867157
302	0.4696164902
303	0.4691679596
304	0.4684916203
305	0.467927656
306	0.4672222757
307	0.4668752528
308	0.4664521307
309	0.4659262963
310	0.465708134
311	0.4654205589
312	0.4649415793
313	0.4640053795
314	0.4632745931
315	0.4628394715
316	0.4625374026
317	0.4622058269
318	0.4615484415
319	0.4610890953
320	0.4605833176
321	0.460030519
322	0.459594334
323	0.4590333942
324	0.4584519396
325	0.4579758376
326	0.4574091124
327	0.4570159824
328	0.4565176237
329	0.4558978223
330	0.4555063762
331	0.455131328
332	0.4543857865
333	0.4536342838
334	0.4531586388
335	0.4528138434
336	0.452161369
337	0.4514834365
338	0.4509435138
339	0.4503328089
340	0.4498581624
341	0.4492573948
342	0.4487748046
343	0.448235974
344	0.4477748513
345	0.4471450559
346	0.446753676
347	0.4462836242
348	0.4458407681
349	0.4453092186
350	0.4449170814
351	0.4442699079
352	0.4440162262
353	0.4437535971
354	0.4434529299
355	0.4430154537
356	0.442550162
357	0.4422609571
358	0.4418194941
359	0.4413936142
360	0.4408954617
361	0.4405829187
362	0.440357045
363	0.439805205
364	0.439344651
365	0.4387060018
366	0.4381654336
367	0.4379677089
368	0.4376357478
369	0.4370017395
370	0.4362489838
371	0.4357447841
372	0.4352440023
373	0.4349294349
374	0.4346453726
375	0.4340851868
376	0.4337923154
377	0.4335425198
378	0.4328512717
379	0.4324967837
380	0.4319275978
